A,1/3/2023 12:00:00 AM,151.960007,148.470001,153.130005,150.039993,148.957687,1414300
A,1/4/2023 12:00:00 AM,151.649994,150.240005,153.039993,151.669998,150.575943,1247400
A,1/5/2023 12:00:00 AM,150.000000,148.770004,153.070007,152.110001,151.012756,1714600
A,1/6/2023 12:00:00 AM,154.360001,143.009995,154.639999,147.669998,146.604797,2445000
A,1/9/2023 12:00:00 AM,149.690002,147.199997,151.279999,147.470001,146.406219,1269600
A,1/10/2023 12:00:00 AM,150.179993,148.750000,155.550003,155.229996,154.110260,1565700
A,1/11/2023 12:00:00 AM,155.229996,155.229996,158.580002,158.169998,157.029037,1241900
A,1/12/2023 12:00:00 AM,158.160004,155.580002,158.600006,156.490005,155.361160,809100
A,1/13/2023 12:00:00 AM,155.539993,154.500000,157.279999,156.919998,155.788071,921700
A,1/17/2023 12:00:00 AM,156.679993,155.029999,158.110001,155.399994,154.279022,1602200
A,1/18/2023 12:00:00 AM,156.259995,153.639999,158.160004,154.070007,152.958633,1150700
A,1/19/2023 12:00:00 AM,153.580002,152.139999,154.919998,152.869995,151.767273,1017400
A,1/20/2023 12:00:00 AM,153.500000,152.410004,156.009995,155.919998,154.795273,1343700
A,1/23/2023 12:00:00 AM,156.000000,155.669998,159.589996,159.059998,157.912643,974900
A,1/24/2023 12:00:00 AM,156.270004,154.460007,158.509995,155.690002,154.566940,1121500
A,1/25/2023 12:00:00 AM,154.000000,152.830002,156.539993,155.759995,154.636414,736200
A,1/26/2023 12:00:00 AM,156.970001,155.190002,157.660004,156.229996,155.103027,776300
A,1/27/2023 12:00:00 AM,155.750000,154.809998,156.960007,155.690002,154.566940,646200
A,1/30/2023 12:00:00 AM,154.500000,150.880005,155.520004,151.740005,150.645432,1401100
A,1/31/2023 12:00:00 AM,151.610001,150.210007,153.460007,152.080002,150.982986,1995400
A,2/1/2023 12:00:00 AM,153.309998,151.720001,156.289993,155.449997,154.328659,1499900
A,2/2/2023 12:00:00 AM,156.660004,154.770004,157.309998,155.500000,154.378296,1725600
A,2/3/2023 12:00:00 AM,153.169998,152.740005,155.419998,154.550003,153.435165,992800
A,2/6/2023 12:00:00 AM,152.729996,151.360001,154.399994,152.240005,151.141846,771500
A,2/7/2023 12:00:00 AM,151.490005,151.130005,154.960007,154.509995,153.395432,1126700
A,2/8/2023 12:00:00 AM,153.639999,153.229996,155.169998,154.419998,153.306091,1073500
A,2/9/2023 12:00:00 AM,155.669998,151.539993,156.320007,152.380005,151.280807,852200
A,2/10/2023 12:00:00 AM,151.800003,151.070007,152.990005,152.550003,151.449600,934800
A,2/13/2023 12:00:00 AM,153.270004,152.009995,154.660004,154.600006,153.484802,925400
A,2/14/2023 12:00:00 AM,154.339996,151.449997,155.750000,153.039993,151.936050,895400
A,2/15/2023 12:00:00 AM,152.220001,150.300003,152.320007,151.750000,150.655365,982400
A,2/16/2023 12:00:00 AM,148.809998,147.229996,150.160004,148.279999,147.210373,1101700
A,2/17/2023 12:00:00 AM,147.259995,146.490005,148.940002,148.259995,147.190521,1194800
A,2/21/2023 12:00:00 AM,146.600006,142.630005,146.649994,143.419998,142.385437,1693800
A,2/22/2023 12:00:00 AM,143.369995,140.949997,143.440002,142.080002,141.055115,1691300
A,2/23/2023 12:00:00 AM,142.089996,141.309998,143.580002,143.199997,142.167023,1511500
A,2/24/2023 12:00:00 AM,141.460007,138.720001,142.240005,141.199997,140.181458,1522100
A,2/27/2023 12:00:00 AM,142.880005,141.809998,143.759995,142.179993,141.154373,1149600
A,2/28/2023 12:00:00 AM,141.750000,141.389999,143.380005,141.970001,140.945908,2342500
A,3/1/2023 12:00:00 AM,138.580002,136.250000,139.990005,137.509995,136.518082,3132800
A,3/2/2023 12:00:00 AM,136.300003,136.080002,141.720001,141.669998,140.648056,1879200
A,3/3/2023 12:00:00 AM,142.539993,141.979996,144.440002,143.929993,142.891769,1147800
A,3/6/2023 12:00:00 AM,143.350006,142.679993,145.440002,143.229996,142.196808,1153600
A,3/7/2023 12:00:00 AM,143.559998,140.229996,143.660004,140.330002,139.317734,1088400
A,3/8/2023 12:00:00 AM,140.149994,139.380005,141.580002,140.899994,139.883621,1135900
A,3/9/2023 12:00:00 AM,141.259995,138.300003,142.000000,138.929993,137.927811,1328900
A,3/10/2023 12:00:00 AM,139.190002,134.710007,139.440002,135.720001,134.740982,1896000
A,3/13/2023 12:00:00 AM,135.550003,134.759995,138.279999,136.690002,135.703995,1771400
A,3/14/2023 12:00:00 AM,138.440002,136.429993,139.600006,138.399994,137.401642,1255400
